44,-0.024477,-0.072209,1.010377
60,-0.021791,-0.070256,1.010987
75,-0.023256,-0.072331,1.012696
91,-0.022401,-0.074284,1.012452
106,-0.025575,-0.075627,1.013062
122,-0.024232,-0.076604,1.012208
138,-0.025575,-0.077825,1.010865
153,-0.025697,-0.076848,1.0094
169,-0.026064,-0.075749,1.009034
184,-0.025331,-0.07697,1.010743
200,-0.028627,-0.076848,1.010377
216,-0.026796,-0.081487,1.010133
231,-0.029482,-0.080877,1.009034
247,-0.025087,-0.083196,1.011353
263,-0.023866,-0.082708,1.01233
278,-0.022279,-0.083562,1.013551
294,-0.022157,-0.078557,1.011719
310,-0.017396,-0.075993,1.011964
325,-0.017396,-0.077092,1.013062
341,-0.017152,-0.074162,1.010987
356,-0.014832,-0.075261,1.005005
372,-0.0141,-0.072331,0.994995
387,-0.022279,-0.075261,0.996216
403,-0.017152,-0.069035,0.997803
419,-0.023134,-0.074284,0.992309
435,-0.024232,-0.073308,0.99707
450,-0.013734,-0.066105,1.010987
466,-0.02057,-0.083562,1.008667
481,-0.01703,-0.071232,1.009156
497,-0.011414,-0.082097,1.016236
512,-0.008484,-0.076604,1.011597
528,-0.013123,-0.081975,1.007447
544,-0.015443,-0.078191,1.006714
559,-0.023012,-0.084173,0.999512
575,-0.020814,-0.073796,1.001831
591,-0.019105,-0.068669,1.00061
606,-0.008606,-0.063297,0.995117
622,0.008362,-0.068058,0.998901
638,0.017518,-0.064762,1.000732
653,-0.000183,-0.072209,0.999634
669,-0.009949,-0.063175,1.004395
684,-0.010316,-0.064518,1.003174
700,0.002258,-0.065006,0.994995
716,0.0047,-0.061466,0.991943
731,0.003968,-0.063297,0.997436
747,-0.000549,-0.062077,0.994018
762,0.002991,-0.063908,0.993164
778,0.011536,-0.06049,0.992675
794,0.012879,-0.066838,0.995971
809,0.003845,-0.075383,0.99707
825,0.005432,-0.07343,1.000977
840,0.010682,-0.073918,1.001099
856,0.009095,-0.074162,0.994506
872,0.007264,-0.071477,0.995117
888,0.006897,-0.067936,0.99353
903,0.007996,-0.066715,0.995117
919,0.004944,-0.060367,1.004273
934,0.005799,-0.065006,1.001709
950,0.007752,-0.060001,0.996216
965,0.0047,-0.054141,1.001465
981,-0.002991,-0.060612,0.999756
997,-0.008118,-0.062931,0.990234
1012,-0.00177,-0.059025,0.998535
1028,-0.002014,-0.060123,1.004273
1044,-0.002503,-0.065983,1.000366
1059,-0.002258,-0.071599,1.00879
