      35,   0.000000,   0.002930,  -0.000489,  -0.007386,   0.960203,   0.226149, 0,0,0,0
      51,   0.000000,   0.002930,  -0.000489,  -0.005555,   0.960081,   0.226882, 0,0,0,0
      66,  -0.000489,   0.003418,  -0.000489,  -0.006287,   0.957883,   0.227736, 0,0,0,0
      82,   0.000488,   0.002930,  -0.000489,  -0.004700,   0.959958,   0.227858, 0,0,0,0
      98,   0.000488,   0.002930,   0.000000,  -0.005921,   0.959226,   0.228591, 0,0,0,0
     113,   0.000000,   0.002930,  -0.000489,  -0.003845,   0.959592,   0.228591, 0,0,0,0
     129,   0.000000,   0.002930,  -0.000489,  -0.005921,   0.958249,   0.228346, 0,0,0,0
     145,   0.000000,   0.003418,   0.000000,  -0.004578,   0.958494,   0.228102, 0,0,0,0
     160,   0.000000,   0.003418,   0.000000,  -0.005921,   0.959226,   0.228102, 0,0,0,0
     176,   0.000488,   0.002930,  -0.000489,  -0.005066,   0.958005,   0.227248, 0,0,0,0
     191,   0.000000,   0.002930,  -0.000977,  -0.007508,   0.960081,   0.226515, 0,0,0,0
     207,   0.000000,   0.002441,   0.000000,  -0.005555,   0.959592,   0.225539, 0,0,0,0
     222,   0.000488,   0.002930,  -0.000489,  -0.003113,   0.957273,   0.224928, 0,0,0,0
     238,   0.000000,   0.003418,  -0.000489,  -0.003479,   0.961668,   0.229811, 0,0,0,0
     254,   0.000000,   0.003418,  -0.000489,  -0.004700,   0.957395,   0.226882, 0,0,0,0
     270,   0.000488,   0.003418,  -0.000489,  -0.004334,   0.961790,   0.229567, 0,0,0,0
     285,   0.000000,   0.003418,  -0.000489,  -0.003601,   0.957883,   0.227980, 0,0,0,0
     301,   0.000000,   0.002930,   0.000000,  -0.005066,   0.959226,   0.230056, 0,0,0,0
     316,   0.000000,   0.002930,   0.000000,  -0.004212,   0.961790,   0.227126, 0,0,0,0
     332,   0.000000,   0.003418,  -0.000489,  -0.003235,   0.960447,   0.227736, 0,0,0,0
     348,   0.000000,   0.003418,  -0.000489,  -0.005555,   0.958738,   0.227492, 0,0,0,0
     363,   0.000000,   0.003418,  -0.000489,  -0.006409,   0.959470,   0.225294, 0,0,0,0
     379,   0.000000,   0.003418,   0.000000,  -0.005188,   0.961668,   0.230056, 0,0,0,0
     394,   0.000000,   0.002930,   0.000000,  -0.006531,   0.959714,   0.226271, 0,0,0,0
     410,   0.000000,   0.002441,  -0.000489,  -0.005677,   0.959226,   0.227004, 0,0,0,0
