You entered a buffer length of 20
gx: 0.013672, gy: 0.050781, gz: 0.038574, avg x: 0.128906, avg y: -0.041916, avg z: -0.001178, x_min: 0.013672, x_max: 0.234375, y_min: -0.067416, y_max: 0.050781, z_min: -0.052272, z_max: 0.067383
gx: -0.174402, gy: 0.073242, gz: 0.009277, avg x: 0.119478, avg y: -0.035738, avg z: -0.001642, x_min: -0.174402, x_max: 0.234375, y_min: -0.067416, y_max: 0.073242, z_min: -0.052272, z_max: 0.067383
gx: -0.435271, gy: 0.117188, gz: -0.030288, avg x: 0.096128, avg y: -0.027534, avg z: -0.003962, x_min: -0.435271, x_max: 0.234375, y_min: -0.067416, y_max: 0.117188, z_min: -0.052272, z_max: 0.067383
gx: -0.422570, gy: 0.179199, gz: -0.097215, avg x: 0.072582, avg y: -0.016400, avg z: -0.009507, x_min: -0.435271, x_max: 0.234375, y_min: -0.067416, y_max: 0.179199, z_min: -0.097215, z_max: 0.067383
gx: -0.284807, gy: 0.171387, gz: -0.146556, avg x: 0.055412, avg y: -0.005681, avg z: -0.017347, x_min: -0.435271, x_max: 0.234375, y_min: -0.067416, y_max: 0.179199, z_min: -0.146556, z_max: 0.067383
gx: -0.030777, gy: 0.104492, gz: -0.191500, avg x: 0.050016, avg y: 0.001620, avg z: -0.027166, x_min: -0.435271, x_max: 0.234375, y_min: -0.067416, y_max: 0.179199, z_min: -0.191500, z_max: 0.067383
gx: 0.131836, gy: 0.032715, gz: -0.210064, avg x: 0.051871, avg y: 0.005429, avg z: -0.037743, x_min: -0.435271, x_max: 0.234375, y_min: -0.067416, y_max: 0.179199, z_min: -0.210064, z_max: 0.067383
gx: 0.349121, gy: -0.157792, gz: -0.188569, avg x: 0.063859, avg y: -0.000164, avg z: -0.047049, x_min: -0.435271, x_max: 0.349121, y_min: -0.157792, y_max: 0.179199, z_min: -0.210064, z_max: 0.067383
gx: 0.358887, gy: -0.250611, gz: -0.162189, avg x: 0.075700, avg y: -0.010228, avg z: -0.054743, x_min: -0.435271, x_max: 0.358887, y_min: -0.250611, y_max: 0.179199, z_min: -0.210064, z_max: 0.067383
gx: 0.256836, gy: -0.279433, gz: -0.050318, avg x: 0.081901, avg y: -0.021488, avg z: -0.056575, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.179199, z_min: -0.210064, z_max: 0.067383
