You entered a buffer length of 20
gx: 0.003906, gy: -0.000977, gz: -0.006351, avg x: 0.000195, avg y: -0.000049, avg z: -0.000318, x_min: 0.000000, x_max: 0.003906, y_min: -0.000977, y_max: 0.000000, z_min: -0.006351, z_max: 0.000000
gx: 0.003418, gy: -0.001466, gz: -0.006839, avg x: 0.000366, avg y: -0.000122, avg z: -0.000660, x_min: 0.000000, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: 0.001465, gy: -0.000977, gz: -0.006351, avg x: 0.000439, avg y: -0.000171, avg z: -0.000977, x_min: 0.000000, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: 0.000000, gy: -0.000977, gz: -0.005374, avg x: 0.000439, avg y: -0.000220, avg z: -0.001246, x_min: 0.000000, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.000977, gy: -0.001466, gz: -0.006839, avg x: 0.000391, avg y: -0.000293, avg z: -0.001588, x_min: -0.000977, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.003420, gy: -0.000977, gz: -0.006351, avg x: 0.000220, avg y: -0.000342, avg z: -0.001905, x_min: -0.003420, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.003908, gy: -0.000489, gz: -0.005374, avg x: 0.000024, avg y: -0.000366, avg z: -0.002174, x_min: -0.003908, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.004885, gy: -0.000977, gz: -0.006839, avg x: -0.000220, avg y: -0.000415, avg z: -0.002516, x_min: -0.004885, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.005374, gy: -0.001466, gz: -0.005862, avg x: -0.000489, avg y: -0.000489, avg z: -0.002809, x_min: -0.005374, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.005374, gy: -0.000489, gz: -0.007328, avg x: -0.000757, avg y: -0.000513, avg z: -0.003175, x_min: -0.005374, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.004885, gy: -0.000977, gz: -0.006839, avg x: -0.001002, avg y: -0.000562, avg z: -0.003517, x_min: -0.005374, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.004885, gy: -0.000977, gz: -0.006839, avg x: -0.001246, avg y: -0.000611, avg z: -0.003859, x_min: -0.005374, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.006351, gy: -0.000977, gz: -0.005862, avg x: -0.001564, avg y: -0.000660, avg z: -0.004152, x_min: -0.006351, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.004885, gy: -0.000977, gz: -0.005862, avg x: -0.001808, avg y: -0.000708, avg z: -0.004445, x_min: -0.006351, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.003908, gy: -0.000977, gz: -0.006351, avg x: -0.002003, avg y: -0.000757, avg z: -0.004763, x_min: -0.006351, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.004397, gy: -0.001466, gz: -0.006839, avg x: -0.002223, avg y: -0.000831, avg z: -0.005105, x_min: -0.006351, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.003908, gy: -0.000977, gz: -0.005862, avg x: -0.002418, avg y: -0.000879, avg z: -0.005398, x_min: -0.006351, x_max: 0.003906, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.004397, gy: -0.001954, gz: -0.006351, avg x: -0.002638, avg y: -0.000977, avg z: -0.005716, x_min: -0.006351, x_max: 0.003906, y_min: -0.001954, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.004885, gy: -0.000977, gz: -0.006351, avg x: -0.002883, avg y: -0.001026, avg z: -0.006033, x_min: -0.006351, x_max: 0.003906, y_min: -0.001954, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.004885, gy: -0.000489, gz: -0.006351, avg x: -0.003127, avg y: -0.001050, avg z: -0.006351, x_min: -0.006351, x_max: 0.003906, y_min: -0.001954, y_max: -0.000489, z_min: -0.007328, z_max: -0.005374
gx: -0.002931, gy: -0.001954, gz: -0.005862, avg x: -0.003469, avg y: -0.001099, avg z: -0.006326, x_min: -0.006351, x_max: 0.003418, y_min: -0.001954, y_max: -0.000489, z_min: -0.007328, z_max: -0.005374
gx: -0.003420, gy: -0.001954, gz: -0.006839, avg x: -0.003811, avg y: -0.001124, avg z: -0.006326, x_min: -0.006351, x_max: 0.001465, y_min: -0.001954, y_max: -0.000489, z_min: -0.007328, z_max: -0.005374
gx: -0.001954, gy: -0.001466, gz: -0.005862, avg x: -0.003981, avg y: -0.001148, avg z: -0.006302, x_min: -0.006351, x_max: 0.000000, y_min: -0.001954, y_max: -0.000489, z_min: -0.007328, z_max: -0.005374
gx: -0.001954, gy: 0.000000, gz: -0.005862, avg x: -0.004079, avg y: -0.001099, avg z: -0.006326, x_min: -0.006351, x_max: -0.000977, y_min: -0.001954, y_max: 0.000000, z_min: -0.007328, z_max: -0.005374
gx: 0.000488, gy: -0.001466, gz: -0.006839, avg x: -0.004006, avg y: -0.001099, avg z: -0.006326, x_min: -0.006351, x_max: 0.000488, y_min: -0.001954, y_max: 0.000000, z_min: -0.007328, z_max: -0.005374
gx: 0.001465, gy: -0.000977, gz: -0.006839, avg x: -0.003762, avg y: -0.001099, avg z: -0.006351, x_min: -0.006351, x_max: 0.001465, y_min: -0.001954, y_max: 0.000000, z_min: -0.007328, z_max: -0.005374
gx: -0.003908, gy: -0.000977, gz: -0.004885, avg x: -0.003762, avg y: -0.001124, avg z: -0.006326, x_min: -0.006351, x_max: 0.001465, y_min: -0.001954, y_max: 0.000000, z_min: -0.007328, z_max: -0.004885
gx: -0.004885, gy: -0.000489, gz: -0.006839, avg x: -0.003762, avg y: -0.001099, avg z: -0.006326, x_min: -0.006351, x_max: 0.001465, y_min: -0.001954, y_max: 0.000000, z_min: -0.007328, z_max: -0.004885
gx: -0.002931, gy: -0.000977, gz: -0.006839, avg x: -0.003640, avg y: -0.001075, avg z: -0.006375, x_min: -0.006351, x_max: 0.001465, y_min: -0.001954, y_max: 0.000000, z_min: -0.007328, z_max: -0.004885
gx: -0.002443, gy: -0.000489, gz: -0.006351, avg x: -0.003493, avg y: -0.001075, avg z: -0.006326, x_min: -0.006351, x_max: 0.001465, y_min: -0.001954, y_max: 0.000000, z_min: -0.006839, z_max: -0.004885
