You entered a buffer length of 20
gx: 0.047852, gy: -0.005862, gz: -0.027357, avg x: -0.043919, avg y: -0.049805, avg z: 0.111254, x_min: -0.084514, x_max: 0.047852, y_min: -0.082071, y_max: -0.003420, z_min: -0.027357, z_max: 0.173828
gx: 0.093750, gy: 0.031738, gz: -0.071324, avg x: -0.038596, avg y: -0.048047, avg z: 0.105344, x_min: -0.084514, x_max: 0.093750, y_min: -0.082071, y_max: 0.031738, z_min: -0.071324, z_max: 0.173828
gx: 0.099609, gy: 0.039551, gz: -0.059599, avg x: -0.032615, avg y: -0.045629, avg z: 0.099581, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: 0.065430, gy: 0.019531, gz: 0.010742, avg x: -0.028097, avg y: -0.043798, avg z: 0.096749, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: 0.002441, gy: -0.005374, gz: 0.058594, avg x: -0.026485, avg y: -0.042870, avg z: 0.095748, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.012213, gy: -0.016610, gz: 0.066406, avg x: -0.025337, avg y: -0.042015, avg z: 0.094649, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.016610, gy: -0.001466, gz: 0.046387, avg x: -0.024189, avg y: -0.039963, avg z: 0.091866, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.010747, gy: 0.015137, gz: 0.040527, avg x: -0.022528, avg y: -0.036739, avg z: 0.088253, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.003420, gy: 0.009766, gz: 0.068848, avg x: -0.020330, avg y: -0.033442, avg z: 0.085421, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.024915, gy: -0.009282, gz: 0.095215, avg x: -0.019109, avg y: -0.030853, avg z: 0.083395, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.050806, gy: -0.021983, gz: 0.100586, avg x: -0.018987, avg y: -0.028654, avg z: 0.081271, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.083048, gy: -0.031265, gz: 0.091797, avg x: -0.020208, avg y: -0.026847, avg z: 0.078268, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.033708, gy: -0.007328, gz: 0.077637, avg x: -0.018669, avg y: -0.023720, avg z: 0.074190, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: -0.007328, gy: 0.008789, gz: 0.059570, avg x: -0.015665, avg y: -0.019813, avg z: 0.068893, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.039551, z_min: -0.071324, z_max: 0.173828
gx: 0.059082, gy: 0.052246, gz: 0.002930, avg x: -0.009071, avg y: -0.013585, avg z: 0.060519, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.052246, z_min: -0.071324, z_max: 0.173828
gx: 0.078125, gy: 0.047852, gz: -0.041036, avg x: -0.001354, avg y: -0.007480, avg z: 0.049775, x_min: -0.084514, x_max: 0.099609, y_min: -0.082071, y_max: 0.052246, z_min: -0.071324, z_max: 0.171387
gx: 0.079102, gy: 0.038086, gz: -0.055203, avg x: 0.006826, avg y: -0.001472, avg z: 0.038446, x_min: -0.083048, x_max: 0.099609, y_min: -0.082071, y_max: 0.052246, z_min: -0.071324, z_max: 0.149414
gx: 0.045410, gy: 0.015137, gz: -0.055203, avg x: 0.013176, avg y: 0.003388, avg z: 0.028215, x_min: -0.083048, x_max: 0.099609, y_min: -0.073278, y_max: 0.052246, z_min: -0.071324, z_max: 0.119629
